experiment,epoch,train_loss,kendall_tau,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,seconds
gnn_xla_default,1,0.6809575413832968,-0.042004821523179185,1.1476221425192696,1.0917140756334578,1.0650392770767212,1.0003553458622523,285.94554924964905
gnn_xla_default,2,0.6704247729923096,-0.013673077281573779,1.1949074268341064,1.1510591166360038,1.1407445328576225,1.0004074232918876,281.34341526031494
gnn_xla_default,3,0.6613473303707939,-0.0120036257866588,1.1751069852284022,1.0838519164494105,1.0817020790917533,1.0004394565309798,281.67359805107117
gnn_xla_default,4,0.65304672632017,-0.008999713811671169,1.1311089481626238,1.0998788561139787,1.093097243990217,1.0015552043914795,281.75196623802185
gnn_xla_default,5,0.6442508152123538,-0.0008396632800231187,1.1313431092670985,1.0853277615138464,1.031581265585763,1.0003762415477209,281.3365731239319
gnn_xla_default,6,0.6292028356482848,0.0036647664090551334,1.157063330922808,1.085329532623291,1.031791193144662,1.0013369151524134,281.10450410842896
gnn_xla_default,7,0.6240609299716212,0.019463333427015044,1.1655489546912057,1.1239726543426514,1.0309956754956926,1.0006624630519323,281.21446990966797
gnn_xla_default,8,0.6125059488925807,0.05241245397414406,1.1232107537133353,1.0929042100906372,1.073603596006121,1.0003410407475062,281.0581519603729
gnn_xla_default,9,0.5995713205729496,0.08474266372210297,1.1633549928665161,1.101500460079738,1.0712402207510812,1.001311148915972,281.2531385421753
gnn_xla_default,10,0.5852142163394406,0.1160441125849212,1.1526264463152205,1.0274662290300642,1.0187905175345284,1.0013208900179182,282.0038480758667
gnn_xla_default,11,0.5804364837676578,0.13644177841180927,1.1542163235800607,1.1212469339370728,1.1212208611624581,1.0013398783547538,281.78445315361023
gnn_xla_default,12,0.5680146222637065,0.18493509584817266,1.0518097026007516,1.0090217420033045,1.009015679359436,1.0005655969892229,281.74857544898987
gnn_xla_default,13,0.5582891666181706,0.20198005837689653,1.0635995524270194,1.0094894341060094,1.0082458427974157,1.0003488404410226,281.174751996994
gnn_xla_default,14,0.5484099970431281,0.2667025013461775,1.0095775468008858,1.009301781654358,1.0092244488852364,1.0000779288155692,281.67237544059753
gnn_xla_default,15,0.5378105033185729,0.2405055856728309,1.0634072848728724,1.0095005886895316,1.009243096624102,1.0007863555635725,281.5671112537384
gnn_xla_default,16,0.5309556519376885,0.2416117999756698,1.0096067190170288,1.009265729359218,1.0082576274871826,1.0007840054375785,281.4809970855713
gnn_xla_default,17,0.518213962226075,0.24220111618364246,1.0497547558375768,1.0029721430369787,1.0029570375170027,1.0007934400013514,281.1945683956146
gnn_xla_default,18,0.5115403287020797,0.2561681727825002,1.0586309262684412,1.0085298674447196,1.0082661083766393,1.0007976804460799,281.2372624874115
gnn_xla_default,19,0.5059950651965475,0.29703726616998777,1.011933139392308,1.0011082887649536,1.0008803606033325,1.0007846696036202,281.29721117019653
gnn_xla_default,20,0.498079145555575,0.2958667511653509,1.0165611846106393,1.003166743687221,1.0029311180114746,1.0007859979357039,281.6014873981476
gnn_xla_default,21,0.489433555026618,0.29298634387086137,1.018456016268049,1.0020979131971086,1.0008418900626046,1.0008069276809692,281.72321677207947
gnn_xla_default,22,0.4858464349391853,0.2965632806312513,1.013053263936724,1.0022973333086287,1.0011319262640817,1.0008270399911063,282.40254950523376
gnn_xla_default,23,0.48776649030048685,0.3116760822053109,1.0030842167990548,1.002089262008667,1.0020778008869715,1.0003788471221924,281.23420691490173
gnn_xla_default,24,0.4808129184047393,0.317500071684964,1.0030673912593298,1.002112524850028,1.0011282478060042,1.0008031300136022,280.82949900627136
gnn_xla_default,25,0.47691357245500665,0.31695782786559035,1.0128782646996635,1.0021128143583025,1.0018460069383894,1.0017820766993932,282.0174915790558
gnn_xla_default,26,0.47135176590779587,0.3062404611117114,1.0131130729402815,1.0032424245561873,1.0022244453430176,1.0010426555361067,282.249294757843
gnn_xla_default,27,0.46701851967150176,0.3124030023717668,1.0109941107886178,1.0011944770812988,1.0011299337659563,1.001046998160226,281.60789465904236
gnn_xla_default,28,0.4619141635779402,0.2981137131208631,1.0131231716700964,1.0032480614525932,1.0031902960368566,1.0010202271597726,281.96004843711853
gnn_xla_default,29,0.45545349970380977,0.3233168850627305,1.0043535232543945,1.0032151937484741,1.0011004379817419,1.0007865939821516,281.7067024707794
gnn_xla_default,30,0.45349823921588056,0.3140253807291031,1.0043020929609026,1.002197572163173,1.002194574901036,1.0010260513850622,281.52310585975647
gnn_xla_default,31,0.45215402963755724,0.31370107677148457,1.0043500661849976,1.0042710644858224,1.0022185700280326,1.0008259500776018,281.3759026527405
gnn_xla_default,32,0.44770776474578294,0.3146402676371976,1.005326816013881,1.0043056181498937,1.0022084542683192,1.0010332550321306,281.35204434394836
gnn_xla_default,33,0.44418294638117706,0.3176011094490745,1.0043517351150513,1.0032043286732264,1.0031613622392928,1.0007977655955724,281.03856468200684
gnn_xla_default,34,0.4422914508450571,0.3095429960227922,1.0022742407662528,1.002228021621704,1.0022154535566057,1.001031824520656,281.3801758289337
gnn_xla_default,35,0.4402350205464222,0.32165818183220446,1.0043259348188127,1.003166845866612,1.0011140619005476,1.000780531338283,281.74559116363525
gnn_xla_default,36,0.4369980022901051,0.28776635570561027,1.0053460938589913,1.0052732229232788,1.0042445829936437,1.0010202441896712,281.6203820705414
gnn_xla_default,37,0.43651623176396265,0.3259306620639616,1.004327382360186,1.0042983634131295,1.0042653935296195,1.0003070150102888,281.397563457489
