graph_id,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,kendall_tau
bert_pretraining.4x4.fp16,1.000442624092102,1.000442624092102,1.0002198219299316,1.0001325607299805,0.476165956414311
inception_v3_batch_128_train,1.0144623517990112,1.014413833618164,1.014413833618164,1.0000380277633667,0.5379721168257421
mlperf_bert_batch_24_2x2,1.0068490505218506,1.0068386793136597,1.0068386793136597,1.001854419708252,-0.11780832792929469
resnet50.4x4.fp16,1.0001555681228638,1.0001273155212402,1.0001273155212402,1.0000081062316895,0.5505150850197172
resnet_v1_50_official_batch_128_bf16,1.0001832246780396,1.0000849962234497,1.0000849962234497,1.0,0.3951238480134293
tf2_bert_pretrain_dynamic_batch_size,1.000417947769165,1.000417947769165,1.0004104375839233,1.0000927448272705,0.2929957506365333
unet_3d.4x4.bf16,1.007780909538269,1.007763147354126,1.0077626705169678,1.0000232458114624,0.14655020546729303
