graph_id,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,kendall_tau
bert_pretraining.4x4.fp16,1.0002995729446411,1.0002995729446411,1.0002995729446411,1.0,0.331233107642839
inception_v3_batch_128_train,1.6341841220855713,1.633745789527893,1.6319117546081543,1.002382516860962,0.0564652825419533
mlperf_bert_batch_24_2x2,1.0947962999343872,1.0809024572372437,1.00499427318573,1.0020792484283447,0.1855812156593407
resnet50.4x4.fp16,1.0,1.0,1.0,1.0,0.13363373469985151
resnet_v1_50_official_batch_128_bf16,1.1713271141052246,1.006974458694458,1.006974458694458,1.0069427490234375,0.10328483879343345
tf2_bert_pretrain_dynamic_batch_size,1.0546658039093018,1.0138126611709595,1.0138126611709595,1.0001598596572876,0.3573031987616475
unet_3d.4x4.bf16,1.0077747106552124,1.000022530555725,1.0,1.0,0.10330637956990905
