experiment,epoch,train_loss,kendall_tau,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,seconds
gnn_xla_random,1,0.5830825330497188,0.07500506703795462,1.214901225907462,1.2002590213503157,1.1739987305232458,1.1254803793770927,279.8282608985901
gnn_xla_random,2,0.5752924060654192,0.1752165937224604,1.2896682875497,1.1939319712775094,1.1855808666774206,1.1209138631820679,274.68618512153625
gnn_xla_random,3,0.580677096003939,0.19377800761031114,1.2186554670333862,1.1777763366699219,1.1714774710791451,1.111072029386248,274.68640637397766
gnn_xla_random,4,0.5563157414822177,0.18573420565351365,1.2219255822045463,1.205727560179574,1.158006293433053,1.1216963359287806,275.14449429512024
gnn_xla_random,5,0.5528323978500429,0.21944359926374776,1.189010466848101,1.1591055393218994,1.1536265100751604,1.1110924652644567,274.1370415687561
gnn_xla_random,6,0.5467963667416279,0.21900768386309308,1.2437872886657715,1.1548340490886144,1.1450846024921961,1.137744733265468,273.9598915576935
gnn_xla_random,7,0.534610149203947,0.2374288893151156,1.1798342636653356,1.1458263567515783,1.1391853775296892,1.1273701190948486,276.21505880355835
gnn_xla_random,8,0.5210522894643898,0.25424320547560303,1.206425598689488,1.141002552849906,1.1410024166107178,1.13736469405038,273.766640663147
gnn_xla_random,9,0.5155195149070685,0.27253123487933034,1.1454169409615653,1.1409985508237566,1.1409878730773926,1.1271588802337646,274.04620361328125
gnn_xla_random,10,0.5044080038851885,0.2858696154789137,1.1526919433048792,1.1515507016863142,1.1491167375019617,1.127399274281093,274.9372236728668
gnn_xla_random,11,0.49056795506230744,0.30166520777396727,1.2183009726660592,1.1404903786523002,1.1378365414483207,1.1272353615079607,273.92033433914185
gnn_xla_random,12,0.47820687537168177,0.30880234395003525,1.1702620472226823,1.1394018275397164,1.1394018275397164,1.1373165505273002,274.4433443546295
gnn_xla_random,13,0.4658537485074973,0.32911215749253664,1.1793914863041468,1.1396043641226632,1.1394093547548567,1.1137210130691528,273.866760969162
gnn_xla_random,14,0.45840878430632626,0.3487256002739331,1.1735166992459978,1.138985616820199,1.138671875,1.0894787652151925,274.3219633102417
gnn_xla_random,15,0.44996934402055727,0.3525145614054822,1.1576468774250575,1.1466985430036272,1.1375769887651717,1.0987316029412406,275.3414251804352
gnn_xla_random,16,0.44790560160799653,0.3743312361759676,1.1507974692753382,1.1469368764332362,1.1389056955065047,1.0937683752604894,275.28137016296387
gnn_xla_random,17,0.43816333634699534,0.3752171437403734,1.1555322578975133,1.146820068359375,1.1392229114259993,1.1134543589183263,274.01738929748535
gnn_xla_random,18,0.42869114094922317,0.3890227456643271,1.1417158501488822,1.1378184386662074,1.1374440704073225,1.0754612854548864,274.97736835479736
gnn_xla_random,19,0.42161165319155286,0.406776873258221,1.1495030777794975,1.1455013411385673,1.13893461227417,1.0904260533196586,274.21558952331543
gnn_xla_random,20,0.4121123058498687,0.4120453709516648,1.1468597991125924,1.1376049177987235,1.1375760010310583,1.0759834902627128,275.2179653644562
gnn_xla_random,21,0.40458108534676673,0.39825777788702493,1.1548770325524467,1.1394284963607788,1.1377602985927038,1.1001273053033012,273.5555760860443
gnn_xla_random,22,0.3995030757856733,0.4042127870160689,1.1511977570397514,1.1458184037889754,1.1455009664808,1.100099699837821,274.5780415534973
gnn_xla_random,23,0.3925296877907351,0.40273109246497085,1.147089924131121,1.1381617273603166,1.1377901009150915,1.1000895500183105,274.92432403564453
gnn_xla_random,24,0.3876355238233903,0.4359200472996601,1.1231505870819092,1.1224704129355294,1.1221999611173357,1.0076624325343542,275.17711663246155
gnn_xla_random,25,0.3770259612880655,0.4234416270466195,1.1476149899618966,1.1459285872323173,1.1390406404222762,1.075437102999006,273.77711844444275
gnn_xla_random,26,0.3788876633200269,0.45015675433565167,1.1124591657093592,1.098774892943246,1.0984400510787964,1.007653730256217,274.50854659080505
gnn_xla_random,27,0.3759009457021738,0.4478117573118963,1.158908724784851,1.1457137720925468,1.1017191069466727,1.0076479400907243,274.89406275749207
gnn_xla_random,28,0.3644818916786473,0.4302786566181892,1.1491069453103202,1.1472893272127425,1.1157360076904297,1.0076272998537337,275.7540988922119
gnn_xla_random,29,0.3629979006510677,0.4745588692790087,1.1102044922964913,1.0913040467670985,1.0908153908593314,1.007653730256217,275.03784108161926
gnn_xla_random,30,0.3525673646113208,0.4724854986681329,1.1581685543060303,1.0983087846211024,1.0905036755970545,1.0661678654806954,275.67775774002075
gnn_xla_random,31,0.3483577346800075,0.48744626135860736,1.1097358635493688,1.0987974405288696,1.0905690022877284,1.007627214704241,276.2679262161255
gnn_xla_random,32,0.34487486803505274,0.4627354558299742,1.1094877208982195,1.098313501902989,1.090569223676409,1.007625733103071,276.09256505966187
gnn_xla_random,33,0.3332294854929383,0.48859390144138387,1.113744854927063,1.0915368454796928,1.0910008634839738,1.0076276574816023,275.4769654273987
gnn_xla_random,34,0.33259529988193925,0.46613497102001544,1.110635689326695,1.0988007613590784,1.0984665836606706,1.0097686392920358,275.54596400260925
gnn_xla_random,35,0.3277820489013815,0.4750884176961653,1.159082191331046,1.1148923294884818,1.0905069623674666,1.0076290369033813,275.4816551208496
gnn_xla_random,36,0.31743562661327657,0.45940199982642904,1.112238918031965,1.098804201398577,1.0984666177204676,1.0081061124801636,274.72481870651245
gnn_xla_random,37,0.3124844973320954,0.5052024408176452,1.1102618830544608,1.090976425579616,1.0906814336776733,1.0076216799872262,275.8307566642761
gnn_xla_random,38,0.30884373538310933,0.46605866406563473,1.110397526196071,1.0914351429258073,1.090843677520752,1.007630808012826,276.2075047492981
gnn_xla_random,39,0.3083822692866684,0.4872763352980113,1.1343601090567452,1.0986115762165614,1.0906315190451485,1.0902612549918038,275.42702174186707
gnn_xla_random,40,0.2991740128575805,0.5056464244198868,1.1115030901772636,1.0911879198891776,1.090631399835859,1.0097545725958688,274.80225801467896
gnn_xla_random,41,0.2979116809213686,0.4794642729624769,1.134797487940107,1.0990732056753976,1.0100038051605225,1.00762711252485,274.5720705986023
gnn_xla_random,42,0.29481172320820603,0.4926270879510023,1.1048425095421928,1.091024739401681,1.0906695127487183,1.0076261247907365,276.11065459251404
gnn_xla_random,43,0.2893138706284119,0.4810600950480884,1.1124698945454188,1.098982845033918,1.0908375978469849,1.0076621600559779,275.75097703933716
gnn_xla_random,44,0.28776075831554515,0.5100536511493055,1.135716199874878,1.0994403532573156,1.0906689167022705,1.0076275042125158,275.348176240921
gnn_xla_random,45,0.28201520095265353,0.46556040430442186,1.135891624859401,1.1104789120810372,1.1015633004052299,1.0902948379516602,275.63909912109375
gnn_xla_random,46,0.2826829323505525,0.5053170525575338,1.1366653612681799,1.1011016028267997,1.0916297095162528,1.0076381819588798,276.41933488845825
gnn_xla_random,47,0.27701739845703893,0.4963371859783884,1.124786411012922,1.1086178166525704,1.1080902985164098,1.0076445511409216,274.82834243774414
gnn_xla_random,48,0.2746776319165169,0.4967591569526291,1.111358983176095,1.093204242842538,1.0904907158442907,1.0076646975108556,275.2531850337982
gnn_xla_random,49,0.2715808223454152,0.5324381548029328,1.110869356564113,1.1088059800011771,1.108340127127511,1.007625733103071,275.5483992099762
gnn_xla_random,50,0.269642380635781,0.5002452809070254,1.1356034108570643,1.108662417956761,1.1080527475902013,1.0093540123530798,273.95210886001587
gnn_xla_random,51,0.2684822463712503,0.523755554701359,1.1133293764931815,1.092568380492074,1.0910180296216692,1.0076261247907365,274.5005507469177
gnn_xla_random,52,0.27541638771540006,0.5254350825496613,1.1446809428078788,1.1082241705485754,1.1080398729869299,1.0076078006199427,275.4275267124176
gnn_xla_random,53,0.2682147322201109,0.5410982880600723,1.1109176533562797,1.0926487956728255,1.0907243830817086,1.0076155492237635,275.3797779083252
gnn_xla_random,54,0.268708518456687,0.4890718261613742,1.1461468594414848,1.1109490735190255,1.11033410685403,1.0076370239257812,275.2388348579407
gnn_xla_random,55,0.26700303717460655,0.5647221375648459,1.1114581823349,1.0986444439206804,1.0984366280691964,1.0076064211981637,274.2977237701416
gnn_xla_random,56,0.2688284177882794,0.532402937400101,1.135215469769069,1.0916505541120256,1.0914452586855208,1.0076172351837158,275.00245928764343
gnn_xla_random,57,0.2581917138503727,0.5474687411401847,1.120372976575579,1.1082129648753576,1.0992507764271326,1.0076155492237635,275.2372159957886
gnn_xla_random,58,0.26702512211576057,0.5227503921541571,1.1466117416109358,1.1099141154970442,1.1082228592463903,1.0076168434960502,274.25092577934265
gnn_xla_random,59,0.25726276312074187,0.5718155371016497,1.1101148128509521,1.0989293711526054,1.0906634160450526,1.0076064211981637,274.5168879032135
gnn_xla_random,60,0.25991905178018604,0.5418992723164535,1.1218442065375192,1.0989801713398524,1.090540085520063,1.0076064211981637,274.5452060699463
gnn_xla_random,61,0.25737404814871284,0.5624306548020765,1.1215309415544783,1.109718816620963,1.1078776461737496,1.00764000415802,275.1029677391052
gnn_xla_random,62,0.25043958109549985,0.5528158228098908,1.1113242592130388,1.0999724864959717,1.0994179930005754,1.0076064211981637,275.61332845687866
gnn_xla_random,63,0.2548692370362059,0.560167454716983,1.1358942134039742,1.1096478700637817,1.1015374660491943,1.0076412984303065,276.0617997646332
gnn_xla_random,64,0.24354183057538287,0.5503612101711153,1.1210973433085851,1.1005000897816248,1.1003425972802299,1.0076159409114294,275.16989183425903
gnn_xla_random,65,0.24050832803866082,0.5723919452030781,1.1117382219859533,1.1098271778651647,1.1088471753256661,1.0076254606246948,275.06403160095215
gnn_xla_random,66,0.24287689821872277,0.5731496346853406,1.1211201293127877,1.1086193663733346,1.1080272708620345,1.0076159409114294,274.3458938598633
gnn_xla_random,67,0.23599311087130734,0.5595323826500483,1.1111089842660087,1.109951717512948,1.1010078362056188,1.007649574960981,276.19453501701355
gnn_xla_random,68,0.2361659559092897,0.5651842403155317,1.1138847385134016,1.1108087471553258,1.108844586781093,1.0076064211981637,274.71071434020996
gnn_xla_random,69,0.23695527406879627,0.5595500963219344,1.111979365348816,1.1094815731048584,1.109444226537432,1.007641383579799,275.56649351119995
gnn_xla_random,70,0.23221848578791732,0.5443250414321957,1.1114375761577062,1.1096986191613334,1.1089687858309065,1.0076252392360143,274.7675361633301
gnn_xla_random,71,0.23017671996238995,0.5618208257698788,1.122436625616891,1.1098585980279105,1.1094401904514857,1.0076064211981637,273.93647027015686
gnn_xla_random,72,0.23103196851158367,0.5797559112582645,1.1223851442337036,1.1018443277903966,1.092557668685913,1.0076159409114294,275.5701949596405
gnn_xla_random,73,0.2283708425247813,0.5707942575377385,1.11221444606781,1.1011680194309779,1.1003371477127075,1.0076064211981637,275.3396291732788
gnn_xla_random,74,0.22557012538329227,0.5933259508911625,1.101153816495623,1.018177798816136,1.0167093447276525,1.0076159409114294,275.0747563838959
