experiment,epoch,train_loss,kendall_tau,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,seconds
gnn_nlp_default,1,0.59903804848742,0.2826242533794153,1.0539900600910186,1.0461902678012849,1.042854905128479,1.0233097136020661,461.9210376739502
gnn_nlp_default,2,0.5055267811150789,0.41010824296668014,1.0208514332771301,1.0202352106571198,1.020008933544159,1.015225601196289,447.898375749588
gnn_nlp_default,3,0.48141547085392766,0.40784789871366645,1.0206713736057282,1.020141887664795,1.0199117183685302,1.0149981081485748,447.11364340782166
gnn_nlp_default,4,0.46797443633414615,0.43259292852704173,1.020935344696045,1.0195179462432862,1.0192891240119935,1.002603429555893,447.5666751861572
gnn_nlp_default,5,0.4519453286769508,0.4479340440682253,1.0075219869613647,1.006527042388916,1.0063361704349518,1.0025716185569764,446.92662286758423
gnn_nlp_default,6,0.44278244035215014,0.4626234118622897,1.0072859346866607,1.0067259192466735,1.00643652677536,1.002584660053253,446.7664256095886
gnn_nlp_default,7,0.4364462196309533,0.4716098425957965,1.007213681936264,1.006641674041748,1.0063116431236268,1.0027290463447571,447.19963574409485
gnn_nlp_default,8,0.4300605254988609,0.4787347284264151,1.0070051431655884,1.0064848065376282,1.0062957763671876,1.0026400804519653,446.9303662776947
gnn_nlp_default,9,0.42866293591037957,0.4876628257101171,1.0074047088623046,1.0065013766288757,1.0062586307525634,1.002704632282257,446.7832534313202
gnn_nlp_default,10,0.4257992451735349,0.4885225453348321,1.00749614238739,1.0050382316112518,1.0045284271240233,1.0007795870304108,447.6456367969513
gnn_nlp_default,11,0.4240404793703364,0.48982729490329585,1.0072870552539825,1.0066827714443207,1.006412959098816,1.0025320291519164,446.97466230392456
gnn_nlp_default,12,0.422547873204828,0.4971907327973182,1.0052037358283996,1.0045923113822937,1.0043745815753937,1.0005610466003418,447.11975860595703
gnn_nlp_default,13,0.41732284199502884,0.4938249792727317,1.0020753145217896,1.0015716016292573,1.001302719116211,1.0007581114768982,447.699006319046
gnn_nlp_default,14,0.41748821035714234,0.49776219480193473,1.0052028238773345,1.001330417394638,1.0012077510356903,1.0007985591888429,447.08591651916504
gnn_nlp_default,15,0.41646128568464347,0.4969340842956739,1.0020230114459991,1.0013295769691468,1.0012168526649474,1.000753790140152,447.6172113418579
gnn_nlp_default,16,0.40851252127998516,0.5000549360554679,1.0051633894443512,1.001495599746704,1.0012474834918976,1.0007924795150758,446.3172607421875
gnn_nlp_default,17,0.41303595525889913,0.5018713999457043,1.001864343881607,1.0013635635375977,1.0012309014797212,1.0007859349250794,447.8025071620941
gnn_nlp_default,18,0.4147716062625569,0.4994987948107242,1.0020110785961152,1.0014464497566222,1.0012314319610596,1.0007191061973573,446.76481890678406
gnn_nlp_default,19,0.4098052824341758,0.5017271027548539,1.0021176517009736,1.001404470205307,1.0011794984340667,1.0007534086704255,447.1582221984863
gnn_nlp_default,20,0.40756387778233283,0.506137725197602,1.0052444756031036,1.004723608493805,1.004558300971985,1.0007089257240296,446.9405035972595
gnn_nlp_default,21,0.4067498274862465,0.5003135461094317,1.0020689368247986,1.0014129340648652,1.0012235820293427,1.0006954669952393,446.69823813438416
gnn_nlp_default,22,0.40571845014758334,0.5071029508013027,1.0054846823215484,1.0046392500400543,1.0044757187366486,1.0007598519325256,445.8392493724823
gnn_nlp_default,23,0.40411222559479865,0.506204137573102,1.0053045451641083,1.0046808898448945,1.0045339345932007,1.0007319688796996,445.2566213607788
gnn_nlp_default,24,0.40422029421203814,0.5097051121482477,1.0049098670482635,1.0045169949531556,1.004379278421402,1.0007162511348724,446.7248229980469
gnn_nlp_default,25,0.40318106176482155,0.5038872322743402,1.0019835770130157,1.0014344573020935,1.001254963874817,1.0007508933544158,447.2335784435272
gnn_nlp_default,26,0.40319263135703903,0.5098975902352476,1.005193257331848,1.0045953333377837,1.004467922449112,1.0007592380046844,445.95200395584106
gnn_nlp_default,27,0.4023267272036673,0.5130070086173724,1.005303007364273,1.004766833782196,1.0045508682727813,1.000626230239868,446.8017530441284
gnn_nlp_default,28,0.3995030757705352,0.510682870461267,1.0054096519947051,1.0047222673892975,1.0044792592525482,1.0007874548435212,450.3959000110626
gnn_nlp_default,29,0.4026375662763556,0.5143843279727781,1.005393236875534,1.0015371859073638,1.0013972163200378,1.0007317423820496,446.1948525905609
gnn_nlp_default,30,0.40132911208278566,0.5140039184706194,1.0021333515644073,1.0012185454368592,1.0010562181472777,1.0005703032016755,446.33503556251526
gnn_nlp_default,31,0.39857601491038247,0.5136108219501876,1.0022557556629181,1.0015808761119842,1.0012102603912354,1.000737875699997,445.946072101593
gnn_nlp_default,32,0.3975779922864861,0.5184907441195643,1.0018829345703124,1.0012433052062988,1.0011155545711516,1.0005449771881103,446.68493008613586
gnn_nlp_default,33,0.3980530826339611,0.5193307137920289,1.0019620656967163,1.0011147260665894,1.0009380519390105,1.000492161512375,446.510089635849
gnn_nlp_default,34,0.3988086964313007,0.5084532450942696,1.0075838148593903,1.0065081238746643,1.0062602162361145,1.0025446653366088,445.59797525405884
gnn_nlp_default,35,0.3976695844151004,0.5099591163589281,1.0039462745189667,1.0032654285430909,1.0029617905616761,1.0025340795516968,446.91640043258667
gnn_nlp_default,36,0.3944962729953907,0.511938387569659,1.0023543298244477,1.0016256511211394,1.0012853145599365,1.0005099713802337,446.3470277786255
gnn_nlp_default,37,0.3958931637591579,0.5174058964421289,1.0053564429283142,1.0045841932296753,1.0043881475925445,1.000489854812622,446.32820749282837
gnn_nlp_default,38,0.39803570161827584,0.5168324550369439,1.0014914989471435,1.0011433243751526,1.001014733314514,1.000530982017517,448.0269441604614
gnn_nlp_default,39,0.3985910157225038,0.512353730481055,1.0037329614162445,1.0030007004737853,1.0028899431228637,1.0025352835655212,446.2462077140808
gnn_nlp_default,40,0.39787318201081806,0.5188095855241716,1.0039156377315521,1.0030187785625457,1.0028567254543304,1.0004938304424287,447.7563660144806
gnn_nlp_default,41,0.3978476025225275,0.5118655060439921,1.004100078344345,1.0032398879528046,1.0031396865844726,1.0007405519485473,446.22584199905396
gnn_nlp_default,42,0.39741125988134307,0.522215420254294,1.002237355709076,1.0012582838535309,1.0010687828063964,1.0005000472068786,446.2391905784607
gnn_nlp_default,43,0.3918953633448579,0.5132439835240272,1.0021312057971954,1.0014730215072631,1.0013380706310273,1.000566303730011,448.49970173835754
gnn_nlp_default,44,0.39303339359049466,0.5203115730365253,1.001958864927292,1.0014966189861298,1.0012973070144653,1.0007425248622894,451.2494511604309
gnn_nlp_default,45,0.3905734206065347,0.5181807078057601,1.0022224009037017,1.001384574174881,1.0010917067527771,1.000508201122284,462.88189911842346
gnn_nlp_default,46,0.39391037506507615,0.5149034836205248,1.001958930492401,1.0013481378555298,1.0011758506298065,1.0005895733833312,460.8414855003357
gnn_nlp_default,47,0.3911471219940318,0.525873367353092,1.001762706041336,1.0013005614280701,1.0009263575077056,1.0004799962043762,459.76863741874695
