graph_id,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,kendall_tau
bert_pretraining.4x4.fp16,1.000841498374939,1.000488042831421,1.0004326105117798,1.0003154277801514,0.16188038636950955
inception_v3_batch_128_train,1.0001596212387085,1.0001537799835205,1.0001537799835205,1.0000330209732056,0.06682086979910602
mlperf_bert_batch_24_2x2,1.0002589225769043,1.0002589225769043,1.0000211000442505,1.0000211000442505,0.0019130262368807372
resnet50.4x4.fp16,1.00015389919281,1.00015389919281,1.00015389919281,1.0001088380813599,0.20009315658704108
resnet_v1_50_official_batch_128_bf16,1.0069921016693115,1.0001094341278076,1.0001094341278076,1.000072956085205,0.04277929110533253
tf2_bert_pretrain_dynamic_batch_size,1.0002633333206177,1.0002633333206177,1.0002633333206177,1.0002084970474243,0.06416620154722817
unet_3d.4x4.bf16,1.0000581741333008,1.0000308752059937,1.0000308752059937,1.0000277757644653,0.08263172758752789
