ensemble_of,alpha_a,alpha_b,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,kendall_tau
gnn_xla_random+xgb_pairwise,0.0,1.0,1.1375782319477625,1.1051082100187029,1.0939989600862776,1.0016520534242903,0.18154535468245372
gnn_xla_random+xgb_pairwise,0.05,0.95,1.1109467915126257,1.0942609650748116,1.0918122019086565,1.0016072137015206,0.20355416059239742
gnn_xla_random+xgb_pairwise,0.1,0.9,1.100123575755528,1.092311075755528,1.0917694057737077,1.0016072137015206,0.2270804192575801
gnn_xla_random+xgb_pairwise,0.15000000000000002,0.85,1.1002697604043143,1.092311075755528,1.0917694057737077,1.001602292060852,0.25153913787110577
gnn_xla_random+xgb_pairwise,0.2,0.8,1.1002697604043143,1.0923168999808175,1.0917694057737077,1.0023538555417741,0.2771090222658629
gnn_xla_random+xgb_pairwise,0.25,0.75,1.1003386122839791,1.0923168999808175,1.0917694057737077,1.0083206381116594,0.30391882767132883
gnn_xla_random+xgb_pairwise,0.30000000000000004,0.7,1.1003386122839791,1.0922741038458688,1.091772198677063,1.0083206381116594,0.3318356897034343
gnn_xla_random+xgb_pairwise,0.35000000000000003,0.6499999999999999,1.1003386122839791,1.0922776971544539,1.091772198677063,1.0083206381116594,0.36046077698645934
gnn_xla_random+xgb_pairwise,0.4,0.6,1.101439322744097,1.0917788233075822,1.091772198677063,1.0083650350570679,0.38924314073923355
gnn_xla_random+xgb_pairwise,0.45,0.55,1.101439322744097,1.0917984758104597,1.091772198677063,1.0083650350570679,0.41838020258116587
gnn_xla_random+xgb_pairwise,0.5,0.5,1.101439322744097,1.0917890753064836,1.091772198677063,1.0083650350570679,0.44678456160802554
gnn_xla_random+xgb_pairwise,0.55,0.44999999999999996,1.1017437662397112,1.0917890753064836,1.0917734588895525,1.0083650350570679,0.4730244378771034
gnn_xla_random+xgb_pairwise,0.6000000000000001,0.3999999999999999,1.1017437662397112,1.0917890753064836,1.0917752299989973,1.0083650350570679,0.49757225496365187
gnn_xla_random+xgb_pairwise,0.65,0.35,1.1017437662397112,1.0917890753064836,1.0917788233075822,1.008359125682286,0.5192155966326396
gnn_xla_random+xgb_pairwise,0.7000000000000001,0.29999999999999993,1.1017437662397112,1.0917900460106986,1.0917742933545793,1.0083475283214025,0.5382102297267227
gnn_xla_random+xgb_pairwise,0.75,0.25,1.1017437662397112,1.0917865548815047,1.0917855841772897,1.0074178321020943,0.5542488967800222
gnn_xla_random+xgb_pairwise,0.8,0.19999999999999996,1.1017343657357352,1.0917865548815047,1.0917752640587943,1.0073137964521135,0.5674089055145081
gnn_xla_random+xgb_pairwise,0.8500000000000001,0.1499999999999999,1.1017343657357352,1.0928869928632463,1.0914547783987862,1.0073284421648299,0.5779231717076743
gnn_xla_random+xgb_pairwise,0.9,0.09999999999999998,1.1014060633523124,1.0930532898221696,1.0925520317895072,1.0073189224515642,0.5857206179508286
gnn_xla_random+xgb_pairwise,0.9500000000000001,0.04999999999999993,1.1014070170266288,1.1008392061505998,1.0925535815102714,1.0073076827185494,0.5908277441613025
gnn_xla_random+xgb_pairwise,1.0,0.0,1.101153816495623,1.018177798816136,1.0167093447276525,1.0076159409114294,0.5928953348111914
