graph_id,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,kendall_tau
bert_pretraining.4x4.fp16,1.000615119934082,1.0002024173736572,1.0002024173736572,1.0,0.8879377108060711
inception_v3_batch_128_train,1.6314245462417603,1.0516698360443115,1.0516698360443115,1.0516698360443115,0.22004309875848724
mlperf_bert_batch_24_2x2,1.0054993629455566,1.00499427318573,1.0015736818313599,1.0015736818313599,0.4859930650946277
resnet50.4x4.fp16,1.001096487045288,1.0009708404541016,1.0009708404541016,1.0,0.8879391812433565
resnet_v1_50_official_batch_128_bf16,1.0070217847824097,1.0070217847824097,1.0003467798233032,1.0000666379928589,0.46778962804242386
tf2_bert_pretrain_dynamic_batch_size,1.054635763168335,1.054635763168335,1.0544999837875366,1.0,0.7417171621540299
unet_3d.4x4.bf16,1.0077836513519287,1.0077496767044067,1.0077018737792969,1.0000014305114746,0.4588474975793427
