graph_id,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,kendall_tau
bert_pretraining.4x4.fp16,1.0004565715789795,1.0003880262374878,1.0003880262374878,1.0001325607299805,0.47659757529846714
inception_v3_batch_128_train,1.0001566410064697,1.0000864267349243,1.0000864267349243,1.0000380277633667,0.5387068343160091
mlperf_bert_batch_24_2x2,1.0068507194519043,1.0068328380584717,1.0068328380584717,1.001854419708252,-0.11925198075862119
resnet50.4x4.fp16,1.0002073049545288,1.0001311302185059,1.0001273155212402,1.0000677108764648,0.5462013805861109
resnet_v1_50_official_batch_128_bf16,1.000098705291748,1.000098705291748,1.000070333480835,1.0,0.3926857830410932
tf2_bert_pretrain_dynamic_batch_size,1.0005087852478027,1.0001064538955688,1.0001064538955688,1.0000927448272705,0.2917459632695123
unet_3d.4x4.bf16,1.0077979564666748,1.0000461339950562,1.0000426769256592,1.000026822090149,0.14988180519677805
