ensemble_of,alpha_a,alpha_b,top1_slowdown,top5_slowdown,top10_slowdown,top100_slowdown,kendall_tau
gnn_xla_default+xgb_pairwise,0.0,1.0,1.001246792929513,1.0002083267484392,1.0001664331981115,1.0001125165394373,0.08860975952065978
gnn_xla_default+xgb_pairwise,0.05,0.95,1.0009956530162267,1.0001697880881173,1.0001568794250488,1.0001052447727747,0.10230478773963927
gnn_xla_default+xgb_pairwise,0.1,0.9,1.003037963594709,1.0009245531899589,1.0001590933118547,1.0000850302832467,0.11698231231068767
gnn_xla_default+xgb_pairwise,0.15000000000000002,0.85,1.0032510587147303,1.0009250129972185,1.0009206192834037,1.0000793763569422,0.1324905996404958
gnn_xla_default+xgb_pairwise,0.2,0.8,1.0032491173063005,1.0009266648973738,1.000917570931571,1.0000810282570975,0.1491591112413697
gnn_xla_default+xgb_pairwise,0.25,0.75,1.004361527306693,1.000929866518293,1.000915629523141,1.0000750848225184,0.16656448519628522
gnn_xla_default+xgb_pairwise,0.30000000000000004,0.7,1.004361527306693,1.0011565004076277,1.000902431351798,1.0000750848225184,0.18446785091300116
gnn_xla_default+xgb_pairwise,0.35000000000000003,0.6499999999999999,1.004361527306693,1.0011565004076277,1.0008961473192488,1.0000750848225184,0.2026872332678912
gnn_xla_default+xgb_pairwise,0.4,0.6,1.0043669257845198,1.001152685710362,1.0011085101536341,1.0000662463051933,0.2212819735257058
gnn_xla_default+xgb_pairwise,0.45,0.55,1.0043669257845198,1.0011521918433053,1.0011185918535506,1.0000662463051933,0.23964666800612494
gnn_xla_default+xgb_pairwise,0.5,0.5,1.0043433904647827,1.0031753437859672,1.0011185918535506,1.0000660078866142,0.256953002795533
gnn_xla_default+xgb_pairwise,0.55,0.44999999999999996,1.0043433904647827,1.0031753437859672,1.0010945626667567,1.0000697885240828,0.2725378392267491
gnn_xla_default+xgb_pairwise,0.6000000000000001,0.3999999999999999,1.004351258277893,1.0031753437859672,1.0010945626667567,1.0000697885240828,0.28533664325498415
gnn_xla_default+xgb_pairwise,0.65,0.35,1.004351258277893,1.0031692641122,1.0010945626667567,1.0000678300857544,0.29570038733208487
gnn_xla_default+xgb_pairwise,0.7000000000000001,0.29999999999999993,1.0043429306575231,1.0031692641122,1.0010849407741003,1.0000678300857544,0.304321028092932
gnn_xla_default+xgb_pairwise,0.75,0.25,1.0043429306575231,1.001135996409825,1.0010923998696464,1.0003270762307304,0.311765112270224
gnn_xla_default+xgb_pairwise,0.8,0.19999999999999996,1.0023010287966048,1.001135996409825,1.0010923998696464,1.000326088496617,0.31761698018659895
gnn_xla_default+xgb_pairwise,0.8500000000000001,0.1499999999999999,1.0023010287966048,1.0010926382882255,1.0010923998696464,1.0003215415137154,0.32165007484178665
gnn_xla_default+xgb_pairwise,0.9,0.09999999999999998,1.0022966691425867,1.0010989223207747,1.001091718673706,1.000321728842599,0.32407565500918833
gnn_xla_default+xgb_pairwise,0.9500000000000001,0.04999999999999993,1.0022966691425867,1.001098530633109,1.0010934386934554,1.0003160408564977,0.32522390870704987
gnn_xla_default+xgb_pairwise,1.0,0.0,1.004327382360186,1.0042983634131295,1.0042653935296195,1.0003070150102888,0.3250663270381051
